 1 ,1023,   x, 
 2 ,1013,  23, 
 3 ,1013,  23, 
 4 ,1003,  23, 
 5 ,1003,  23, 
 6 , 993,  23, 
 7 , 993,  23, 
 8 , 983,  23, 
 9 , 983,  23, 
10 , 973,  23, 
11 , 973,  23, 
12 , 963,  23, 
13 , 963,  23, 
14 , 953,  23, 
15 , 953,  23, 
16 , 943,  23, 
17 , 943,  23, 
18 , 933,  23, 
19 , 933,  23, 
20 , 923,  23, 
21 , 923,  23, 
22 , 913,  23, 
23 , 913,  23, 
24 , 903,  23, 
25 , 903,  23, 
26 , 893,  23, 
27 , 893,  23, 
28 , 883,  23, 
29 , 883,  23, 
30 , 873,  23, 
31 , 873,  23, 
32 , 863,  23, 
33 , 863,  23, 
34 , 853,  23, 
35 , 853,  23, 
36 , 843, 115, 
