  21,  927,  169,  170,  
  22,  943,  169,  170,  
  23,  943,  179,  170,  
  24,  943,  179,  170,  
  25,  943,  179,  170,  
  26,  935,  179,  170,  
  27,  935,  174,  170,  
  28,  935,  174,  170,  
  29,  935,  174,  170,  
  30,  931,  174,  170,  
  31,  931,  171,  170,  
  32,  931,  171,  170,  
  33,  931,  171,  170,  
  34,  929,  171,  170,  
  35,  929,  170,  170,  
  36,  929,  170,  170,  

   1,    x,    x,  190,  
   2,  511,    x,  190,  
   3,  511,   56,  190,  
   4,  511,   56,  190,  
   5,  511,   56,  190,  
   6,  767,   56,  190,  
   7,  767,   97,  190,  
   8,  767,   97,  190,  
   9,  767,   97,  190,  
  10,  895,   97,  190,  
  11,  895,  151,  190,  
  12,  895,  151,  190,  
  13,  895,  151,  190,  
  14,  959,  151,  190,  
  15,  959,  192,  190,  
  16,  959,  192,  190,  
  17,  959,  192,  190,  
  18,  927,  192,  190,  
  19,  927,  169,  190,  
  20,  927,  169,  190,  
  21,  927,  169,  190,  
  22,  943,  169,  190,  
  23,  943,  179,  190,  
  24,  943,  179,  190,  
  25,  943,  179,  190,  
  26,  951,  179,  190,  
  27,  951,  185,  190,  
  28,  951,  185,  190,  
  29,  951,  185,  190,  
  30,  955,  185,  190,  
  31,  955,  189,  190,  
  32,  955,  189,  190,  
  33,  955,  189,  190,  
  34,  957,  189,  190,  
  35,  957,  190,  190,  
  36,  957,  190,  190,  

   1,    x,    x,  210,  
   2,  511,    x,  210,  
   3,  511,   56,  210,  
   4,  511,   56,  210,  
   5,  511,   56,  210,  
   6,  767,   56,  210,  
   7,  767,   97,  210,  
   8,  767,   97,  210,  
   9,  767,   97,  210,  
  10,  895,   97,  210,  
  11,  895,  151,  210,  
  12,  895,  151,  210,  
  13,  895,  151,  210,  
  14,  959,  151,  210,  
  15,  959,  192,  210,  
  16,  959,  192,  210,  
  17,  959,  192,  210,  
  18,  991,  192,  210,  
  19,  991,  233,  210,  
  20,  991,  233,  210,  
  21,  991,  233,  210,  
  22,  975,  233,  210,  
  23,  975,  209,  210,  
  24,  975,  209,  210,  
  25,  975,  209,  210,  
  26,  983,  209,  210,  
  27,  983,  220,  210,  
  28,  983,  220,  210,  
  29,  983,  220,  210,  
  30,  979,  220,  210,  
  31,  979,  214,  210,  
  32,  979,  214,  210,  
  33,  979,  214,  210,  
  34,  977,  214,  210,  
  35,  977,  212,  210,  
  36,  977,  212,  210,  
  37,  977,  212,  210,  
  38,  976,  212,  210,  
  39,  976,  210,  210,  
  40,  976,  210,  210,  

   1,    x,    x,  230,  
   2,  511,    x,  230,  
   3,  511,   56,  230,  
   4,  511,   56,  230,  
   5,  511,   56,  230,  
   6,  767,   56,  230,  
   7,  767,   97,  230,  
